country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Switzerland,39600.0,79300.0,119000.0,149000.0,189000.0,248000.0,320000.0,1070000.0,1760000.0,2420000.0,3360000.0,3960000.0,4430000.0,4730000.0,4970000.0,5180000.0,5650000.0,5820000.0,6040000.0,6270000.0,6550000.0,6740000.0,6820000.0,7000000.0,7170000.0,7260000.0,7470000.0,7580000.0,7650000.0,8000000.0
Chile,0.0,0.0,5010.0,10000.0,20000.0,49900.0,99700.0,156000.0,249000.0,622000.0,2550000.0,2960000.0,3470000.0,4040000.0,4510000.0,5050000.0,5640000.0,5930000.0,6230000.0,7020000.0,7680000.0,9000000.0,9580000.0,10200000.0,10900000.0,13800000.0,15200000.0,15200000.0,15400000.0,15600000.0
China,0.0,0.0,0.0,2060.0,14400.0,61500.0,164000.0,409000.0,2140000.0,9080000.0,22900000.0,34300000.0,60100000.0,81500000.0,96600000.0,113000000.0,141000000.0,215000000.0,306000000.0,393000000.0,470000000.0,527000000.0,586000000.0,637000000.0,670000000.0,708000000.0,752000000.0,772000000.0,775000000.0,779000000.0
Cote d'Ivoire,0.0,0.0,0.0,0.0,0.0,28.0,1230.0,2850.0,9510.0,19000.0,38100.0,66700.0,85800.0,134000.0,153000.0,191000.0,286000.0,345000.0,373000.0,401000.0,554000.0,610000.0,1080000.0,2650000.0,4370000.0,8930000.0,9820000.0,10700000.0,11700000.0,9370000.0
Cameroon,0.0,0.0,0.0,0.0,0.0,0.0,485.5,971.0,1950.0,19500.0,39100.0,44100.0,59000.0,98700.0,168000.0,249000.0,370000.0,549000.0,655000.0,760000.0,875000.0,1050000.0,1610000.0,2210000.0,3680000.0,4820000.0,5550000.0,5700000.0,5850000.0,6000000.0
"Congo, Dem. Rep.",0.0,0.0,0.0,0.0,0.0,0.0,46.0,93.0,185.0,463.0,2780.0,5560.0,46300.0,69400.0,104000.0,130000.0,168000.0,216000.0,266000.0,350000.0,465000.0,801000.0,1160000.0,1570000.0,2210000.0,2900000.0,4890000.0,7020000.0,7250000.0,7480000.0
"Congo, Rep.",0.0,0.0,0.0,0.0,0.0,0.0,98.0,99.0,101.0,510.0,824.0,1040.0,5210.0,15700.0,37800.0,53000.0,75200.0,107000.0,172000.0,187000.0,214000.0,246000.0,275000.0,305000.0,337000.0,370000.0,405000.0,442000.0,454000.0,465000.0
Colombia,0.0,0.0,0.0,0.0,38300.0,68500.0,122000.0,208000.0,432000.0,662000.0,875000.0,1150000.0,1880000.0,3070000.0,3840000.0,4690000.0,6630000.0,9530000.0,11300000.0,13400000.0,16500000.0,18400000.0,22600000.0,24000000.0,24700000.0,26600000.0,28000000.0,30500000.0,30900000.0,32700000.000000004
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,784.0,1470.0,2460.0,3160.0,4950.0,7930.0,12200.0,13800.0,16000.0,19700.0,23600.0,35200.0,38900.0,43300.0,48200.0,53000.0,58000.0,63200.0,69000.0,70600.0,72100.0
Cape Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,974.0,1950.0,4880.0,7800.0,11700.0,15600.0,19500.0,24300.0,28100.0,31900.0,39400.0,67300.0,102000.0,148000.0,160000.0,176000.0,192000.0,209000.0,224000.0,267000.0,307000.0,316000.0,320000.0
Costa Rica,0.0,0.0,37.0,2750.0,9680.0,14800.0,30600.0,61000.0,101000.0,152000.0,230000.0,386000.0,816000.0,847000.0,879000.0,946000.0,1090000.0,1250000.0,1440000.0,1550000.0,1670000.0,1820000.0,2230000.0,2180000.0,2540000.0,2900000.0,3230000.0,3530000.0,3700000.0,4099999.9999999995
Cuba,0.0,0.0,0.0,0.0,0.0,10.0,3500.0,7500.0,25000.0,34900.0,60200.0,121000.0,422000.0,589000.0,946000.0,1100000.0,1260000.0,1320000.0,1450000.0,1610000.0,1780000.0,1800000.0,2390000.0,3150000.0,3290000.0,4220000.0,4870000.0,6480000.0,6480000.0,7010000.0
Cyprus,0.0,0.0,401.0,462.0,929.0,3510.0,5880.0,39000.0,80800.0,105000.0,144000.0,181000.0,277000.0,299000.0,342000.0,337000.0,375000.0,434000.0,458000.0,547000.0,590000.0,640000.0,689000.0,749000.0,799000.0,833000.0,888000.0,953000.0,1000000.0,1030000.0
Czech Republic,0.0,0.0,0.0,60200.0,130000.0,151000.0,201000.0,301000.0,402000.0,704000.0,1010000.0,1510000.0,2450000.0,3510000.0,3640000.0,3620000.0,4940000.0,5380000.0,6560000.0,6760000.0,7250000.0,7450000.0,7770000.0,7850000.0,7860000.0,8020000.0,8119999.999999999,8380000.000000001,8610000.0,8640000.0
Germany,99500.0,199000.0,348000.0,373000.0,746000.0,1490000.0,2480000.0,5460000.0,8039999.999999999,17000000.0,24600000.0,25800000.0,39800000.0,45600000.0,52800000.0,56100000.0,58800000.0,61100000.0,63200000.0,63900000.0,66300000.0,65700000.0,66700000.0,68300000.0,70200000.0,71600000.0,69200000.0,69800000.0,74600000.0,73600000.0
Djibouti,0.0,0.0,0.0,0.0,0.0,101.0,201.0,548.0,644.0,740.0,1400.0,2520.0,3640.0,4760.0,6030.0,7470.0,10100.0,13000.0,18400.0,33100.0,54600.0,59800.0,71800.0,83900.0,96300.0,109000.0,122000.0,526000.0,534000.0,542000.0
Dominica,0.0,0.0,0.0,0.0,0.0,390.0,827.0,823.0,2050.0,2050.0,6140.0,9230.0,12900.0,16600.0,21300.0,27200.0,27900.0,28500.0,29200.0,29800.0,33600.0,34500.0,35300.0,36200.0,40900.0,46300.0,47800.0,49800.0,49900.0,50000.0
Denmark,5000.0,10000.0,20000.0,30000.0,70100.0,200000.0,300000.0,601000.0,1200000.0,1630000.0,2089999.9999999998,2300000.0,3450000.0,4110000.0000000005,4370000.0,4490000.0,4720000.0,4650000.0,4670000.0,4800000.0,4930000.0,5010000.0,5180000.0,5340000.0,5440000.0,5480000.0,5540000.0,5570000.0,5620000.0,5660000.0
Dominican Republic,0.0,0.0,0.0,0.0,0.0,1350.0,5960.0,11500.0,19200.0,92200.0,314000.0,381000.0,595000.0,699000.0,796000.0,1040000.0,1370000.0,1650000.0,1970000.0,2650000.0,3040000.0,3730000.0,4200000.0,4610000.0,5040000.0,5570000.0,6640000.0,7100000.0,7950000.0,8039999.999999999
Algeria,0.0,0.0,0.0,0.0,102.0,509.0,509.0,3050.0,6110.0,61100.0,153000.0,203000.0,507000.0,708000.0,1520000.0,1940000.0,2480000.0,3230000.0,3540000.0,3970000.0,4500000.0,5460000.0,6800000.0,8580000.0,11500000.0,15200000.0,17400000.0,19700000.0,25200000.0,25700000.0
Ecuador,0.0,0.0,548.0,1800.0,3900.0,5020.0,10100.0,13200.0,15300.0,102000.0,185000.0,345000.0,560000.0,596000.0,657000.0,829000.0,1010000.0,1540000.0,2730000.0,3630000.0,4360000.0,4780000.0,5440000.0,6330000.0,7270000.0,7930000.0,8920000.0,9610000.0,9780000.0,9950000.0
Egypt,0.0,0.0,0.0,584.0,3900.0,19500.0,39100.0,58700.0,98000.0,196000.0,441000.0,589000.0,1940000.0,2940000.0,8840000.0,9630000.0,10500000.0,12500000.0,14300000.0,16200000.0,17900000.0,21600000.0,22800000.0,26000000.0,30600000.0,35000000.0,39000000.0,43400000.0,46200000.0,57500000.0
Eritrea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198.0,194.0,570.0,3130.0,3750.0,5630.0,5910.0,6180.0,6420.0,6630.0,12300.0,14400.0,16800.0,19300.0,22500.0,26000.0,29500.0,32800.0,36200.0,39700.0,44700.0,45200.0,45800.0
Spain,5050.0,10100.0,30300.0,50500.0,111000.0,152000.0,532000.0,1120000.0,1750000.0,2870000.0,5560000.0,7500000.0,8550000.0,17000000.0,19100000.0,21100000.0,22500000.0,25000000.0,27500000.0,29100000.0,30900000.0,31600000.0,32900000.0,33600000.0,35600000.0,36700000.0,37600000.0,39500000.0,40200000.0,42400000.0
Estonia,0.0,0.0,996.0,4480.0,16900.0,39800.0,50000.0,80400.0,152000.0,204000.0,400000.0,439000.0,574000.0,622000.0,725000.0,833000.0,857000.0,890000.0,946000.0,969000.0,987000.0,1020000.0,1040000.0,1060000.0,1110000.0,1160000.0,1150000.0,1160000.0,1180000.0,1190000.0
Ethiopia,0.0,0.0,0.0,0.0,0.0,10.0,1000.0,3020.0,6040.0,8070.0,10100.0,25300.0,50800.0,76400.0,115000.0,168000.0,244000.0,298000.0,373000.0,460000.0,657000.0,992000.0,2690000.0,4390000.0,7550000.0,14000000.0,15900000.0,19800000.0,20300000.0,20900000.0
Finland,20000.0,70100.0,95200.0,130000.0,251000.0,712000.0,862000.0,1000000.0,1310000.0,1670000.0,1930000.0,2240000.0,3250000.0,3620000.0,3790000.0,3920000.0,4200000.0,4280000.0,4450000.0,4410000.0,4660000.0,4780000.0,4870000.0,4980000.0,4730000.0,4740000.0,4820000.0,4820000.0,4910000.0,4960000.0
Fiji,0.0,0.0,0.0,50.0,61.0,71.0,505.0,1770.0,5070.0,7600.0,12100.0,15100.0,50200.0,54900.0,60600.0,69500.0,79500.0,91100.0,110000.0,145000.0,172000.0,242000.0,292000.0,305000.0,324000.0,369000.0,406000.0,438000.0,441000.0,445000.0
France,29900.0,79700.0,159000.0,339000.0,518000.0,947000.0,1500000.0,2480000.0,3690000.0,5360000.0,8440000.0,15600000.0,18000000.0,21800000.0,23800000.0,26200000.0,28800000.0,40900000.0,44000000.0,44800000.0,48600000.0,49200000.0,51800000.0,52300000.0,53800000.0,50300000.0,51300000.0,52200000.0,53300000.0,54300000.0
"Micronesia, Fed. Sts.",0.0,0.0,0.0,0.0,0.0,0.0,301.0,619.0,2010.0,3020.0,4010.0,5000.0,5960.0,9870.0,11700.0,12600.0,13400.0,14200.0,15000.0,15800.0,20600.0,23600.0,27100.0,29400.0,31900.0,34300.0,36800.0,39400.0,39800.0,40200.0
Gabon,0.0,0.0,0.0,0.0,0.0,0.0,0.0,548.0,1990.0,2990.0,14900.0,17000.0,25000.0,35100.0,40300.0,68000.0,78500.0,84900.0,114000.0,149000.0,211000.0,303000.0,420000.0,555000.0,717000.0,892000.0,965000.0,1280000.0,1310000.0,1350000.0
UK,49900.0,99800.0,150000.0,299000.0,599000.0,1100000.0,2400000.0,4310000.0,8000000.0,12500000.0,15800000.0,19800000.0,33500000.0,38600000.0,39300000.0,42200000.0,41900000.0,46100000.0,48700000.0,52500000.0,53900000.0,54700000.0,56400000.0,58400000.0,59900000.0,60600000.0,62800000.0,63100000.0,63700000.0,62500000.0
Georgia,0.0,0.0,0.0,0.0,0.0,589.0,1940.0,2870.0,4710.0,18600.0,21100.0,42600.0,67600.0,108000.0,164000.0,256000.0,315000.0,344000.0,415000.0,827000.0,1100000.0,1290000.0,1500000.0,1750000.0,1780000.0,1910000.0,2350000.0,2390000.0,2560000.0,2750000.0
Ghana,0.0,0.0,0.0,0.0,0.0,59.0,986.0,4930.0,5920.0,19700.0,29600.0,39500.0,168000.0,248000.0,365000.0,399000.0,609000.0,884000.0,1010000.0,1310000.0,1930000.0,2280000.0,2760000.0,3990000.0,6950000.0,6960000.0,9870000.0,11400000.0,11600000.0,11900000.0
Guinea,0.0,0.0,0.0,0.0,10.0,49.0,145.0,291.0,488.0,4900.0,7860.0,14800.0,34500.0,39500.0,45400.0,49400.0,59300.0,74200.0,89600.0,93700.0,102000.0,208000.0,330000.0,490000.0,714000.0,937000.0,1150000.0,2170000.0,2230000.0,2300000.0
Gambia,0.0,0.0,0.0,0.0,0.0,104.0,413.0,616.0,2550.0,9140.0,12100.0,18200.0,25200.0,35300.0,49500.0,58600.0,83400.0,102000.0,116000.0,133000.0,165000.0,201000.0,237000.0,275000.0,315000.0,344000.0,398000.0,439000.0,452000.0,466000.0
Guinea-Bissau,0.0,0.0,0.0,0.0,0.0,0.0,93.0,186.0,278.0,1390.0,2760.0,3680.0,12800.0,17400.0,23800.0,25600.0,28300.0,31100.0,34100.0,34200.0,37300.0,41800.0,46400.0,51100.0,56200.0,61500.0,67000.0,71900.0,73700.0,75500.0
Equatorial Guinea,0.0,0.0,0.0,0.0,0.0,0.0,111.0,222.0,527.0,567.0,802.0,1040.0,2120.0,3570.0,6050.0,8620.0,10000.0,12800.0,15700.0,19200.0,56600.0,113000.0,144000.0,177000.0,212000.0,249000.0,289000.0,331000.0,343000.0,356000.0
Greece,0.0,5030.0,5030.0,20100.0,40300.0,80500.0,151000.0,202000.0,353000.0,758000.0,1010000.0,1220000.0,1640000.0,2000000.0,2410000.0,2690000.0,3610000.0,3990000.0,4220000.0,4650000.0,4830000.0,5590000.0,5940000.0,6430000.0,6760000.0,7120000.0,7330000.0,7460000.0,7680000.0,7930000.0
Grenada,0.0,0.0,0.0,0.0,0.0,0.0,301.0,1010.0,1520.0,2530.0,4180.0,5290.0,15300.0,19400.0,20400.0,21400.0,22500.0,23400.0,24400.0,25400.0,28700.0,32000.0,34400.0,37900.0,56200.0,59000.0,61600.0,65500.0,65800.0,66200.0
Guatemala,0.0,0.0,0.0,0.0,0.0,312.0,2080.0,10400.0,51900.0,67500.0,83000.0,207000.0,414000.0,569000.0,653000.0,746000.0,871000.0,1000000.0,1160000.0,1330000.0,1540000.0,1840000.0,2440000.0,3070000.0,3730000.0,4680000.0,5720000.0,11000000.0,11200000.0,11400000.0
Guyana,0.0,0.0,0.0,0.0,0.0,0.0,501.0,999.0,1990.0,29700.0,49400.0,98400.0,98400.0,98400.0,98500.0,98500.0,98600.0,103000.0,136000.0,179000.0,224000.0,226000.0,230000.0,235000.0,244000.0,261000.0,275000.0,289000.0,291000.0,292000.0
"Hong Kong, China",0.0,7020.0,49800.0,79100.0,167000.0,196000.0,294000.0,663000.0,933000.0,1380000.0,1840000.0,2580000.0,2890000.0,3510000.0,3800000.0,3850000.0,4139999.9999999995,4430000.0,4590000.0,4810000.0,5020000.0,5060000.0,5140000.0,5260000.0,5700000.0,6100000.0,6340000.0,6530000.0,6590000.0,6820000.0
Honduras,0.0,0.0,0.0,0.0,0.0,2100.0,2570.0,10300.0,18700.0,36700.0,79100.0,95600.0,180000.0,341000.0,408000.0,485000.0,595000.0,734000.0,766000.0,799000.0,922000.0,1350000.0,1570000.0,1570000.0,1710000.0,2470000.0,2730000.0,2990000.0,3040000.0,3090000.0
Croatia,0.0,0.0,0.0,4570.0,12500.0,23700.0,39300.0,78400.0,147000.0,196000.0,294000.0,510000.0,781000.0,998000.0,1360000.0,1450000.0,1660000.0,1810000.0,1930000.0,2200000.0,2450000.0,2490000.0,2660000.0,2850000.0,2920000.0,2950000.0,3060000.0,2810000.0,3020000.0,3270000.0
Haiti,0.0,0.0,0.0,0.0,0.0,0.0,590.0,601.0,1960.0,5880.0,19600.0,29300.0,78200.0,147000.0,489000.0,586000.0,635000.0,684000.0,733000.0,794000.0,833000.0,909000.0,1000000.0,1100000.0,1200000.0,1300000.0,1330000.0,1350000.0,3610000.0,3660000.0
Hungary,0.0,351.0,5010.0,20000.0,50100.0,70100.0,100000.0,200000.0,400000.0,600000.0,715000.0,1480000.0,1690000.0,2190000.0,2810000.0,3930000.0,4730000.0,5340000.0,6100000.0,6170000.0,6450000.0,6730000.0,6960000.0,7140000.0,7420000.0,7120000.0,7730000.0,7470000.0,7380000.0,7780000.0
Indonesia,0.0,0.0,0.0,0.0,2060.0,51400.0,113000.0,395000.0,525000.0,927000.0,1960000.0,4330000.0,4640000.0,5260000.0,5810000.0,8150000.0,10900000.0,13400000.0,18600000.0,16500000.0,26400000.0,30100000.0,36100000.0,37600000.0,43700000.0,56800000.0,66599999.99999999,85500000.0,106000000.0,129000000.0
India,0.0,0.0,1010.0,2020.0,10100.0,253000.0,455000.0,708000.0,1420000.0,2840000.0,5570000.0,7100000.0,16800000.0,18700000.0,22300000.0,27400000.0,32700000.000000004,46700000.0,52600000.0,62300000.0,92600000.0,126000000.0,159000000.0,193000000.0,272000000.0,223000000.0,291000000.0,461000000.0,466000000.0,471000000.0
Ireland,0.0,2000.0,5990.0,9970.0,19900.0,39800.0,79600.0,149000.0,299000.0,408000.0,675000.0,889000.0,1010000.0,1370000.0,1500000.0,1720000.0,2320000.0,2640000.0,2890000.0,3030000.0,3180000.0,3440000.0,3540000.0,3610000.0,3860000.0,3880000.0,3990000.0,4000000.0,4070000.0000000005,4130000.0
Iran,0.0,0.0,0.0,0.0,247.0,2570.0,9860.0,29500.0,63900.0,245000.0,613000.0,986000.0,3110000.0,4720000.0,5160000.0,5650000.0,6180000.0,6760000.0,8670000.0,10100000.0,11700000.0,14200000.0,17200000.0,22900000.0,30500000.0,35600000.0,42300000.0,51700000.0,57300000.0,58000000.0
Iraq,0.0,0.0,0.0,0.0,0.0,0.0,4033.3333333333335,8066.666666666667,12100.0,16133.333333333334,20166.666666666668,24200.0,125000.0,154000.0,237000.0,242000.0,261000.0,260000.0,284000.0,307000.0,744000.0,1540000.0,2260000.0,3050000.0,4550000.0,20600000.0,7770000.0,18500000.0,19000000.0,19400000.0
Iceland,0.0,1300.0,4000.0,7010.0,18000.0,30000.0,40000.0,74900.0,99800.0,115000.0,125000.0,140000.0,226000.0,239000.0,244000.0,257000.0,268000.0,276000.0,283000.0,294000.0,299000.0,307000.0,313000.0,316000.0,323000.0,324000.0,326000.0,329000.0,333000.0,336000.0
Israel,4930.0,9850.0,14800.0,19700.0,29500.0,49000.0,118000.0,245000.0,587000.0,783000.0,1240000.0,1050000.0,1100000.0,1230000.0,1460000.0,1650000.0,1860000.0,3300000.0,4170000.0,4540000.0,4960000.0,5160000.0,5390000.0,5430000.0,5890000.0,6170000.0,6460000.0,6730000.0,6840000.0,7390000.0
